,team,epa,auto_epa,teleop_epa,endgame_epa,rp_1_epa,rp_2_epa
50004,9226,27.56,9.35,12.21,6.01,-0.1403,0.2254
50005,7247,15.46,2.81,9.59,3.06,-0.2211,-0.0089
50006,5225,8.87,2.07,-0.45,7.24,-0.2163,0.1111
50007,9252,17.18,4.83,7.23,5.11,-0.1894,0.0657
50008,6344,35.48,6.93,18.45,10.1,-0.0902,0.2888
50009,9205,11.38,2.29,4.96,4.13,-0.0977,-0.0055
50010,8774,17.14,5.66,9.24,2.24,-0.1642,0.0761
50011,201,21.55,4.3,12.87,4.38,-0.1361,0.2151
50012,217,44.25,11.52,24.4,8.33,-0.0302,0.2688
50013,6152,22.83,7.2,9.76,5.87,-0.1464,0.0051
50014,6566,17.25,4.36,6.96,5.92,-0.1497,0.0202
50015,7188,29.73,8.18,18.46,3.09,-0.1291,-0.0382
50016,9212,8.53,8.9,-2.36,1.99,-0.1136,-0.0194
50017,5619,10.28,1.25,4.48,4.56,-0.123,0.0443
50018,2960,47.98,12.94,25.32,9.72,0.1565,0.5026
50019,226,42.05,20.06,12.09,9.89,0.1507,0.251
50020,68,35.76,8.83,17.25,9.68,-0.0248,0.3282
50021,4776,33.26,7.33,16.92,9.02,-0.0071,0.2932
50022,1250,32.59,10.34,15.47,6.79,-0.1442,0.2742
50023,8623,6.05,-1.77,3.05,4.77,-0.2262,0.0567
50024,5498,24.53,5.22,12.18,7.14,-0.0147,-0.0979
50025,4758,15.13,3.14,6.68,5.31,-0.2144,0.1312
50026,573,43.0,13.6,22.38,7.03,0.1417,0.4348
50027,8115,15.75,4.8,9.43,1.53,-0.1624,-0.1156
50028,818,40.7,13.16,18.91,8.63,0.0637,0.335
50029,6089,18.59,2.23,12.99,3.36,-0.1575,0.1167
50030,5214,16.9,2.6,5.14,9.17,-0.2117,0.2153
50031,5239,7.07,-1.6,7.77,0.9,-0.2176,0.0584
50032,1,34.24,12.81,16.48,4.95,-0.0656,0.3026
50033,1718,52.8,13.21,32.76,6.84,0.2372,0.5099
50034,247,16.83,3.93,9.48,3.42,-0.1031,0.018
50035,8364,12.98,1.06,5.12,6.8,-0.2133,0.2214
50036,6344,34.66,5.09,20.36,9.21,-0.0931,0.2534
50037,5225,7.72,1.2,-0.34,6.86,-0.2177,0.0777
50038,8826,6.5,-0.85,1.96,5.38,-0.2025,-0.0337
50039,5436,38.23,7.85,22.2,8.18,0.0892,0.4075
50040,2851,30.86,11.03,13.87,5.96,-0.1066,0.2923
50041,201,22.57,4.45,13.03,5.08,-0.1396,0.2591
50042,1188,25.82,7.53,7.11,11.19,-0.0108,0.3498
50043,7716,13.62,1.44,7.04,5.14,-0.2427,0.0159
50044,469,39.6,10.3,21.01,8.28,0.1019,0.3295
50045,8774,18.16,5.81,9.4,2.95,-0.1677,0.1201
50046,4776,33.47,6.71,18.41,8.36,-0.025,0.3116
50047,7188,30.47,8.61,18.06,3.8,-0.1315,-0.0496
50048,4130,41.84,13.22,21.61,7.01,0.0525,0.339
50049,226,42.26,19.44,13.58,9.23,0.1328,0.2694
50050,8124,11.65,3.97,6.12,1.56,-0.1767,-0.0705
50051,6566,19.45,4.79,8.02,6.64,-0.1521,0.0088
50052,9252,15.17,2.99,7.96,4.22,-0.1923,0.0304
50053,9226,27.25,8.48,13.15,5.62,-0.1416,0.192
50054,5619,11.15,1.94,4.28,4.93,-0.132,0.0916
50055,217,45.27,11.67,24.57,9.03,-0.0336,0.3128
50056,2960,48.32,13.63,24.59,10.1,0.1475,0.5499
50057,67,59.86,23.49,27.94,8.44,0.4651,0.4225
50058,9212,9.39,9.59,-2.55,2.36,-0.1225,0.0279
50059,6152,25.03,7.63,10.82,6.58,-0.1488,-0.0063
50060,68,35.97,8.21,18.74,9.03,-0.0426,0.3466
50061,7247,15.15,1.94,10.53,2.68,-0.2224,-0.0423
50062,9205,9.38,0.45,5.69,3.24,-0.1006,-0.0409
